Hourly Time,Hourly Sum
2015년 10월 27일   00시,587618.5078
2015년 10월 27일   01시,558317.8633
2015년 10월 27일   02시,547541.1602
2015년 10월 27일   03시,541538.9453
2015년 10월 27일   04시,548512.9023
2015년 10월 27일   05시,565824.4102
2015년 10월 27일   06시,594435.918
2015년 10월 27일   07시,633293.5
2015년 10월 27일   08시,682156.3008
2015년 10월 27일   09시,703634.9023
2015년 10월 27일   10시,707473.457
2015년 10월 27일   11시,697950.9648
2015년 10월 27일   12시,645829.9219
2015년 10월 27일   13시,668085.9414
2015년 10월 27일   14시,678708.8828
2015년 10월 27일   15시,678042.918
2015년 10월 27일   16시,685479.0742
2015년 10월 27일   17시,694882.9375
2015년 10월 27일   18시,710260.6523
2015년 10월 27일   19시,700088.0508
2015년 10월 27일   20시,680769.8086
2015년 10월 27일   21시,663092.1328
2015년 10월 27일   22시,651908.0703
2015년 10월 27일   23시,642304.5664
2015년 10월 28일   00시,596214.7852
2015년 10월 28일   01시,570585.5586
2015년 10월 28일   02시,555572.2031
2015년 10월 28일   03시,551035.457
2015년 10월 28일   04시,558103.6094
2015년 10월 28일   05시,577739.0703
2015년 10월 28일   06시,609621.418
2015년 10월 28일   07시,639432.3672
2015년 10월 28일   08시,674989.125
2015년 10월 28일   09시,684385.2227
2015년 10월 28일   10시,685347.4766
2015년 10월 28일   11시,679608.9375
2015년 10월 28일   12시,626015.1289
2015년 10월 28일   13시,655734.4336
2015년 10월 28일   14시,670552.3672
2015년 10월 28일   15시,671851.5547
2015년 10월 28일   16시,681736.2813
2015년 10월 28일   17시,689885.0781
2015년 10월 28일   18시,701839.7539
2015년 10월 28일   19시,690432.6406
2015년 10월 28일   20시,676793.5586
2015년 10월 28일   21시,665324.3594
2015년 10월 28일   22시,658867.6797
2015년 10월 28일   23시,647444.7734
2015년 10월 29일   00시,603432.3242
2015년 10월 29일   01시,576157.6523
2015년 10월 29일   02시,563101.5039
2015년 10월 29일   03시,556738.0156
2015년 10월 29일   04시,564675.7344
2015년 10월 29일   05시,583370.0391
2015년 10월 29일   06시,612255.6836
2015년 10월 29일   07시,643424.7891
2015년 10월 29일   08시,680339.043
2015년 10월 29일   09시,692713.5508
2015년 10월 29일   10시,688767.8125
2015년 10월 29일   11시,681547.0352
2015년 10월 29일   12시,630962.5742
2015년 10월 29일   13시,660308.9609
2015년 10월 29일   14시,677093.5781
2015년 10월 29일   15시,681976.6445
2015년 10월 29일   16시,697303.75
2015년 10월 29일   17시,705324.5312
2015년 10월 29일   18시,716389.8281
2015년 10월 29일   19시,704527.0273
2015년 10월 29일   20시,689180.5703
2015년 10월 29일   21시,672068.7891
2015년 10월 29일   22시,663524.9805
2015년 10월 29일   23시,653574.3047
2015년 10월 30일   00시,609937.2109
2015년 10월 30일   01시,581992.918
2015년 10월 30일   02시,566837.3281
2015년 10월 30일   03시,557508.7969
2015년 10월 30일   04시,567306.4258
2015년 10월 30일   05시,584847.8711
2015년 10월 30일   06시,612779.6367
2015년 10월 30일   07시,646163.2734
2015년 10월 30일   08시,682695.2031
2015년 10월 30일   09시,691491.0469
2015년 10월 30일   10시,688218.8945
2015년 10월 30일   11시,679504.7422
2015년 10월 30일   12시,632265.3516
2015년 10월 30일   13시,660458.6836
2015년 10월 30일   14시,674629.5508
2015년 10월 30일   15시,675028.1992
2015년 10월 30일   16시,687610.332
2015년 10월 30일   17시,697998.0039
2015년 10월 30일   18시,710386.7578
2015년 10월 30일   19시,697937.7344
2015년 10월 30일   20시,682958.25
2015년 10월 30일   21시,668441.5313
2015년 10월 30일   22시,662023.6211
2015년 10월 30일   23시,660615.3516
2015년 10월 31일   00시,618346.1563
2015년 10월 31일   01시,589541.0859
2015년 10월 31일   02시,574651.0703
2015년 10월 31일   03시,569317.2695
2015년 10월 31일   04시,571842.8867
2015년 10월 31일   05시,583036.6445
